﻿原文,译文
那个维京人也在这儿落过脚，趁他那帮人吃我的粮、喝我的酒，我可有的是工夫把他们一个个瞧仔细了。你，压根不在里头。,
以你这个年纪，见识倒不浅。,
我懂了。我跟你们走，绝不反抗。,
我们是盎格鲁人，这片土地是诺森布里亚王国。我是一名修士，上帝卑微的仆人，也是个游方的学者，专研各种文化、语言，以及信仰。,
想来我也没有说不的份，毕竟你们人多势众。,
深入那片沼泽，找出失踪的祸根。,
我们该稍待片刻，让眼睛在黑暗里沉一沉。天晓得这地道里蛰伏着什么凶险。,
谁说不是呢——刀口底下做的决断，事后再说长道短，总是再轻巧不过了。,
击溃村民，将该村洗劫一空。,
返回埃弗维克，去觐见恩巴尔德主教。,
这究竟是谁干的……？我们该循着外面的足迹追下去。,
去探探基利安的口风，看他能不能帮你劝服默丁。,
她绽开甜笑，探手拈去脸庞前一缕金色的发丝。也不知怎的，这个动作临了她那柔若无骨的手竟顺势落下来，轻轻搁在了你胸口。,
奈芙娅退开一步，让你近前察看那已被她降服的敌手。,
乐意之至。咱们讲好的价钱是五十银奥图格，没错吧？,
你丈夫怎的从不曾跟我父亲一道出海？,
你这是打算上哪儿去？,
厮杀声止息了，天地间重又只剩下海浪拍岸，一下接着一下，沉稳如常。,
我姐姐穿这裙子的模样你定是见过的，那还不都一样。,
赫约迪丝没有立即作答。她沉沉地接住你的目光，过了许久，方才低下了自己的头。,
你朝厄林格走近几步，仿佛要说些机密话。眼瞅着你逼上前来，老人下意识地往后缩，怕是觉出了你不怀好意。,
散了这宴席，歇息去吧，明日还有场生死决斗。,
那好，我的身家性命，便托付给[Player:Name]你了，奥克尼的雅尔。,
我早该料到。,
有落在荆棘丛里的，荆棘便疯长起来，将它们的生机生生挤死了。,
你寻着玛尼了么？,
那这小村子一定就在路前头。走，看看那地方给我们备了什么。,
我不会跟外族的人上床。,
考斯坦丁·马克·弗格斯，这位如今争议稍息的皮克特之王，正如同一只旁观战场的乌鸦，用满是好奇的目光打量着你。,
多谢你费心了。,
哦！我们在珀斯救的那个工匠！我竟把这事忘了个干净。,
多谢！只是……请容我们片刻。,
奈芙娅捻着外衣的下摆，一脸沮丧。,
{一剑刺穿他的手掌。} 答错了。,
还以为咱们一转背他就会溜。怪了，他竟还在。八成是没那胆量跑路。,
不，你且听我说——,
哪来的什么战斗！“蠢货”奥斯雷德把整座城丢了个空，全军到英吉尔森林来打我们。他的人马随即溃散，我们便长驱直入，进城扯了他的旗！,
[Player:Name]啊。我刚正跟妈妈和艾芙拉叙旧呢。你有事？,
先人的智慧，理当共享。我若先走一步，你可愿拿故事来换？,
那是……暮色。就像夏日里那永不消逝的昏昏暮光。,
你可认识一个叫西奥多的年轻人？,
没什么比得上一场激烈的争吵，更能唤醒沉睡的旧情了。,
[Player:诺尔斯人]。你有何贵干？,
那商人扭绞着双手，做出一副忧心忡忡的模样。,
那个么……我们说的是哪种船？,
你为故主效忠如此，我极是敬佩。盼你日后也能以这般赤诚事我。平身吧。,
格蕾妮举手作别，随即转身，将注意力重又投回被打断的会商中。,
出这种事时，你不在这儿拦着。你抛下了你的族人，就跟你爹当年一个样。,
不设陷阱。要打，便堂堂正正地打，否则作罢。,
这里有利伯来的战士，若让他们听闻此事，定会取你性命。我的缄默，于你价值几何？,
这珠宝没受诅咒。这是诺尔斯人的东西，我自会留着。,
他头也不抬地做着木工，随口招呼了你一声。,
我绝不敢留你一人对着那桶麦芽酒。,
阿门。,
若无诸位鼎力相助，这一切绝无可能。诸位皆做出了莫大的牺牲，甘冒奇险来助我。论功行赏，诸位将得赐田产、显爵与丰厚的财富。,
莫尔坎特抬起头，吃了一惊。,
弗伦格已加入你的家园。,
你就没什么回收物要卖吗？,
{离开。} 我且与你道声再见。,
这种石头我之前见过——我师父曾说，这是数世纪前德鲁伊们立下的。,
埃迪斯索性抱起双臂，站到了壁炉的另一边，眉间微蹙。,
比追踪我父亲打紧的事多着呢。,
亏你眼力不错！能跟我匹敌的人可不多见。,
你是觉得我老到连你的无礼都听不出来么？,
最后，她在地图上东边那座大岛的南侧，在路的尽头处，画了一个又肥又大的圈。,
强盗抢走了我的钥匙，却不知它有何用。,
紧接着塞法扑到他身上，想把我拉开，他却一把抓起她，狠狠搡了回去——下手极重。那之后的事我便看不大清了。我眼里满是血、鼻涕和泪，糊成了一片。,
你不配。,
我只求你能平平安安回珀斯去。,
好极了。接着干吧。,
我瞧见他大概是午夜走的，我只当他是想要独处祷告。如今想来，他当时[i]确实[/i]带了一堆东西。,
正巧听见你讨要酬劳遇到了难处。或许我能帮上忙？,
这主意当真疯得没边，倒恰恰可能成事。,
我们歇够了，接着走吧。,
我还当你乐意领受这等差事呢。,
这都是为基利安他自己好！那异教术士已腐蚀了他的灵魂！他须得得到净化！,
了结我的痛苦吧……[i]求你[/i]了……,
那位乡绅已被丢进埃奥福维克城下、被奥斯雷德用作地牢的旧罗马隧道中。是时候展开营救了。,
这是我的。我姐姐临死前给我的。这是她留给我唯一的念想，也是我爹娘仅存的遗物了。,
我想在离开前，先四下转转。,
他阴恻恻地低笑一声。,
好吧，若是将来你又改了主意，想要些什么，定要回来。,
你可辨得出这些足迹是往哪个方向去的？,
勒什克娃从包里掏出水袋，几乎是强灌着让唐科尔斯喝下。她以两指撑开他的眼皮，查看着他的瞳孔。,
答案我有很多，但你刚才用的是什么头衔来称呼我？[i]吉斯-雅？[/i],
我会让我的人从你的船上取走我们的报酬，然后奥克尼就是你的了！来吧，我们出去，把这事儿告诉大家。,
也许我该走了。,
阿伯莱姆诺教堂，十万欢迎。通常我们乐于接待客人，只是……今天实在不凑巧。,
拿着，这瓶子，按约定归你了。你要是感觉昏沉，喝了它立马就能清醒。只是千万别过量！,
我们向你们致敬，与尼尔·麦克·布雷南的女儿同行的维京人，尽管你们的族人正在四处劫掠。,
你曾是个薄弱环节。你的地盘夹在耶灵和南方边境之间，又正好卡在那条河上。若斯克恩由我掌管，我们所有人都更安全。,
妈的，快看！是维京人！,
我们不能就这么把他们丢在那儿——我们该怎么办？,
出什么事了？,
你爱怎么说都行。别告诉我你是来帮忙的。,
啊，疼吗？好极了！,
谢谢你。也祝你一路顺风。,
在邓弗里斯附近一个溺死鬼身上找到的小钥匙。,
那是个绝美之地，峡湾如刀劈斧凿般深深嵌入大地。在那儿，你无时无刻不被提醒着自己的渺小。,
真的？太棒了！谢谢你……谢谢你！,
[Eater:Name]看起来松了口气。[Eater:He/She]伸手探向长凳那头，一把握住了努基的前臂。努基也反手握住，两人相视而笑，郑重地点了点头。然后他俩都向后一靠，各自打了个响亮的大嗝。,
闭嘴，让他把话说完。,
不。是真正的、活生生的人。,
我早就准备好了。,
我们在外面……碰见了你们的朋友。我们这就把你们弄出去。只是你们得小心守卫。,
你想就这么死在遥远的异乡，毫无意义地送命吗？！我可不能再失去你了，不能这么快，就在——,
这是我所能给你的最大帮助了。要是打得顺手，这东西就归你了。,
这里的情况正在好转。我尽着自己的本分。要是我能学着成为大家期望的那种人，对谁都好。,
不……这绝不会是我们最后一次听到斯库勒的消息。,
你和艾菲处得怎么样？,
你一头扎进池中。黑暗转瞬便吞没了你全部的视野。,
从他举手投足间看得出他已年迈，可身子骨似乎还硬朗。令所有人吃惊的是，他竟用一口毫无口音的北欧语对你开了腔。,
让我瞧瞧你的货。,
现在投降，就饶你们所有人一命。,
是啊。我们该回家了。,
送粮的迟了。该不会被狼给叼走了吧？,
主出口从另一头被堵死了，而且有重兵把守。,
你的大名早已在此地传开，我听到的可[i]全是[/i]好话！诺森布里亚的朋友就是我朋友，我向你保证，我的价钱绝对对得起这份交情！,
年轻的女巫耸了耸肩。,
以达格达之名……,
你沿着竖井缓缓而下，越往下越窄，只能拼命挤过去。快到尽头时，你背上的衣衫和铠甲在岩石上刮得嘎吱作响，你不得不硬生生地挤出去，才得以脱身。,
看得出来，你对那位老德鲁伊心怀应有的敬意，而事实上，我们确实因共同的信仰而灵犀相通。,
凯蒂尔的衣服虽已磨损得厉害，却保养得一尘不染。结实的绗缝布料，宜于户外活动，遮挡风雨是一把好手，但也仅此而已。,
扎下营帐，好好思量你眼下的处境。,
再挨那么一下，我就成虫子窝里的烂肉了！,
他警觉地打量着你，目光扫过他全身上下的细节，嘴角叼着根稻草，心神不宁地嚼着。,
房子几乎烧成了白地。我那可怜的妹妹，被奸污，又被开了膛。她的丈夫被大卸八块，就像——,
然后呢？,
没了这个，你要怎么过活？,
原来你在这儿！,
奥斯克瘦削的脸上，浮起一丝贪婪的微笑。,
在单挑中击败阿斯莱芙。,
我得罩着我的朋友们。,
多谢诸位赏光驾临。各位能来，我们深感荣幸。,
国王陛下没工夫再见你们了，北方人。我们已接到命令，若你们再想求见，就直接轰走。,
你找到他们没有？他们死了吗？,
你也是来买木材的？,
别当着这些人的面违抗我！,
地底之民是什么人？,
登上你的长船，启航前往不列颠群岛。,
她奋力回忆着梦魇的细枝末节。,
费了九牛二虎之力。,
我倒是[i]老[/i]琢磨着再搞一次劫掠，不过认真的打算嘛，还没有。,
就因为这个？你知道，有什么事你都可以跟我说的，对吧？,
你这个……叛徒！卑鄙无耻的……异教徒……,
他们怎么会落得这般田地？,
我喜欢，这就是原因。你又能奈我何？,
他打得很顽强，这我不得不服。,
[Sherlock:Name]拔出了[Sherlock:his/her]武器。,
[ObjectOfAffection:Name]用一种无比恳切的目光，牢牢凝视着你。,
{给予120份口粮。} 我们从[Shipname]上带来了食物。这些足以让你饱食好一阵子，等其余军队抵达时，也能供他们果腹。,
他用那早已结满硬痂的袖子擦了擦鼻子。,
这张桌子旁的人，谁不是感同身受！所幸这笔买卖，大家都有好处。,
我就犯了个蠢错误——掉了什么东西，科尔比约恩便勃然大怒。我看他是真怕你父亲，却把气撒在了我身上。他就是一个劲地打，往死里打我。,
难道胡尔达就一点办法也没有吗？,
他们中的有些人……也没那么坏。只要他们愿意放下过去，好好谈谈……,
{举起你的双手，致以和平的问候。},
那帮劫掠者慌忙收拾好家当，卷包逃走了。,
你这[i]卑劣的畜生！[/i]把它还回去！我们绝不会再卖给你任何东西！,
说着，他点了点头。,
嘘——！有雇佣兵……,
你这铁石心肠的杂种。,
你该明白，我在里面可没下死手。那些抵抗的人不过是被打晕了，所有人都还活着。,
瞧这棵白蜡树，树干多挺拔。这般坚固又厚重的木料，定能造出一艘气派的船，还能腾出足够的地方来装货。,
我去随便弄点。等妥当了，我再来找你。,
太可怕了！那后来呢？,
贡纳尔的铠甲,
{说谎。} 哪有什么宝藏，那根本是座空坟。,
你连忙升起风帆，抽出船桨。调转你们轻快的舰船简直不费吹灰之力。眨眼功夫，你便把[Overboard:Name]拽回了甲板上。,
唉……话虽如此，我理当将它物归原主，毕竟这怎么说也算是件传家之物，可我当初确实为此花了大把银子，总得把我的钱讨回来。,
陛下——待您定夺的事务，已是堆积如山了。,
[Player:Hlaford/Hlafdia]？这是我们语言中表示敬意的尊称。它的意思是……,
罢了，反正也与我无关了。Far vel。,
来，让我瞧瞧。,
你……你是什么人？,
嘿，你，给我过来。,
不错，早有耳闻斯克恩突然一夜崛起，赫然成了能与里伯分庭抗礼的贸易重镇。这究竟是怎么做到的？,
她……都跟你说了些什么？,
内菲娅正搀着阿斯特丽德的臂膀，仿佛你母亲随时都会倒下一般。,
或许这也只是迟早的事。但说真的，我没料到他们会走到这一步，可是……,
我懂了。那……得闲时，你知道上哪儿去寻我。,
恕我直言，只要你还踏在这片疆土上，我们就不得不时时留意你的举动了。,
世事无常，谁能说得准呢。,
我既答应给你折扣，就绝不食言。如今这事儿也了了，我甚至可以考虑开始卖奴仆给你们氏族。有兴趣吗？,
那男人抱起双臂。,
是死亡让我变得多愁善感了。,
现在如何是好？听外头这动静，恶战恐怕才刚开场。,
你昏了头吗？！我父亲身陷囹圄，我绝不嫁人！你若要我去珀斯，最好先去把我们的国王救出来！,
[Aside:Name]用你的母语咕哝着，语气里满是鄙夷。,
你稍加思忖，便拖过一大块涂满蜂蜜和榛子的烟熏鲑鱼，拨到自己盘中。待你望向努基，他也正迎着你的目光，伸手去拿第三份时，眼里交织着挑衅与绝望。,
只管告诉他我们安然无恙，无需挂念。,
我奉埃塞尔雷德之命而来，为的正是叫这联盟胎死腹中。向你的神求和去吧！,
凯蒂尔扔掉手里的苹果，顺手在衬衣上蹭了蹭手。,
他们休想活着离开此地。,
这是我们称呼那些通晓神明古训的女子的尊号。莫非你不是这样的女子吗？,
{放弃任务。} 我会去告诉考斯坦丁，他的德鲁伊已经死了。,
我警告过你一次了，[i]小贼！[/i] 你比你那敲骨吸髓的爹还要卑鄙无耻！,
霎时间，那人身上所有盛气凌人的神气全都消散得无影无踪。他双膝一软，跪倒在地，将那死狼紧紧搂在怀里。,
就在你快要吃饱的时候，她凑上前来，拿那双饶有兴味的眸子定定注视着你。你的胸口分明感到一阵悸动——她的美，果真绝世无双。,
若你在决斗中活下来，[i]你[/i]便可效力于[i]我[/i]麾下。但若你不敢接受我的挑战，你的名誉便扫地了，我则会成为领主。,
那主妇咕哝了一声。,
迟不迟到的，不付钱的话，风声就会传出去，往后没人会愿意跟一个欠债不还的人打交道。,
求你了！发发慈悲吧！别再折磨我们了！,
站住！这里不大对劲。,
说得是，这到底怎么回事？,
好了，到底发生了什么？你准有事瞒着我。,
您真是太慷慨了。我们接受！,
我会让我的话掷地有声的，领主。,
我们之中，只有我能射得那么准，能办成这事。我或许能独自射倒一个敌人，但这不够。,
为什么？嗯，她穿了件黄红相间的绗缝外套……,
嗯……这想法有趣。倒让我想起了你叔叔格里穆尔夫曾跟我讲过的一件事。,
你觉得罗斯克瓦这人怎么样？,
你是何人？,
内菲娅深深叹了口气，可你分明看见她嘴角抽动了一下。,
我们即刻动身。,
你搜遍这片区域，也没找到半点值钱或可用的东西。你心灰意冷，继续赶路。,
皮克特人的吆喝声攫住了所有人的注意力，众人纷纷望向崖壁。,
我乃埃奥福维克的冠军。这名号挣来不易，我引以为傲。,
力战不屈，虽败犹荣。,
你打哪儿来？听口音，像个朱特人？,
你们就住这儿？,
国王身旁的那位修士抬了下手，那手势随意得有些古怪。,
日子不好熬啊。,
我甘愿效劳。,
那……很抱歉，让你失望了。你还有什么别的吩咐吗？,
没有。所以我才担心。,
我为何不能进入这小教堂？,
等你搜刮走那点可怜的物什后，[埋葬:名字]开了口。,
这趟差事纯属浪费我的时间。希望你能有更配得上我们本事的任务交给我们。,
你很快寻到了艾菲。她身上的曲线碎裂，四肢以诡异的角度折断。死后，她看上去就像个孩子。,
我们是丹麦人，是朱特人，或就只是诺尔斯人，但我们这些出海闯荡的人，被唤作维京人。,
听好了，你这不知死活的蠢货！你要为我效力，我就权且忘了你的冒犯！,
我回头再与你细说。,
这可帮了大忙了。,
这话似乎勾起了那老头的兴趣。,
[i]嘿！[/i]我这辈子怕是没法再用老眼光看待炖菜了。,
港口长官紧张兮兮地觑着你。,
正是那种本该能让这过渡期好过些的人。,
还在找呢。这片林子大得很。,
那么至少，我希望经我这么一讲，你心里琢磨出了些新东西。还有什么旁的事需要我效劳吗？,
等我确认一切恢复如初，我就会去禀报主教大人此间发生的事。感谢你的援手，[玩家:诺尔斯人]。你今日为上帝效力，做得很好。,
你将成为战俘。一旦你重获自由，就回家与你的家人团聚吧。,
有谁想试试把手指头戳那玩意儿里头去吗？有人吗？,
我们必须火速赶回奥克尼群岛，告知斯卡拉格里姆，时机已至。,
国王向你微微欠身，以示敬意。,
嗯，我要是你，就离那座旧要塞远点儿。那儿盘踞着些亡命徒。,
那杆长矛，是仅存的遗骸了。而且是杆好矛啊。,
这算什么？莫非那些老弱病残都孬得没法列阵迎敌了吗？,
我们当初真是不该帮她，如今倒要对付起那个悍妇来了。,
别担心，[玩家:名字]，这分明是个误会，我相信很快就能水落石出的。,
知道吗？我打定主意了，要跟你一块儿留下。,
你莫非是……？不，显然不是。我要是你，就不会进那地方，那里面的人脑子都有毛病。,
看法？自然有。你想说谁？,
一个身着麦西亚王国服色的男人立于沙滩上。他毕恭毕敬地鞠躬致意。,
咳，现在可是打断我的绝佳时机，偏巧我正困在这节骨眼上，一筹莫展。,
说实在的，几天前也有一伙人打这儿经过，同样打听那座墓穴的事。也不知道他们到底有没有摸进去。,
看不见！出什么事了？,
你将撒克逊刀捅入他心脏时，米尔丁仅仅短促地倒抽了一口冷气。他颓然倒在那长满青苔的岩石上，断气前，还把手搭在了你的肩头。,
接着说。,
我去问旁人吧。,
依我看，这就不剩什么外交斡旋的余地了。,
我们部族的人眼下倒还饿不着肚子，但再有个风吹草动，我们就要落得个饥肠辘辘、一文不名的田地。,
悄无声息地从通德怀恩的帐篷里偷出信来，再不留痕迹地离开。,
{攻击他们。}我信我的直觉，而我的直觉告诉我，你们得死！,
我已准备好踏平皮克塔维亚。说，要我血洗何处？,
谋杀。偷窃。你难道全无廉耻？！你难道半点羞愧之心都没有？！,
我的亲兄弟，竟与我们氏族的死敌并肩而立。你怎能做出这种事？,
我有个提议。我要你加入我的扈从队。,
那件事我毫不知情。,
罗斯克瓦死死盯着你的鞋看。,
你要让谁来示范？,
可不就是嘛！来，试试这些……,
他的笑容依旧真挚。,
斯库勒用脚一蹬，将自己从桌边推开，椅子在木地板上刮出刺耳的声响。他脸上浮现出真挚的同情。,
马尔斯胸针,
请稍候片刻！,
为什么？,
我觉得那恐怕是一蓬胡子。,
{攻击他们。} 那都无所谓了。你转眼就会去陪他。,
那头猪是玛尔多尔的。归还你偷走的东西，就此和解。,
我们到你牢房之前，经过一面开裂的墙——风就是从那道缝灌进来的。,
{试图悄悄摸近，无声无息地杀死他们。},
我想你会发现，自己照顾自己，我绰绰有余。,
格里姆尼尔踏上那道横跨裂谷的石桥，威风凛凛地向你阔步而来。,
这我不能收。斯库勒若是来犯，你或许用得上它。,
无人上前。起初你为自家扈从这般露骨的怯懦而震惊，随即才醒悟——没人对自己泅水的功夫抱有那么大的信心。,
看来无论你说什么，都无法抹去她脸上那抹笑意。,
她脸上没有一丝宽慰或喜悦的痕迹，整个人如同着了魔一般，死死盯着自己的双脚一动不动。,
所有人沉默地凝视着火焰。压在各人心头的事再清楚不过：或许已是无路可走了。,
{离开。},
{接着听。},
有没有可能，像设陷阱捕熊那样，用陷阱去捕获一个人？,
如何才能当上一名军团士兵？,
你有空的时候，能和你哥哥谈谈吗？,
我们与你同在。不胜利，毋宁死！,
盛宴开始前，你应当去逐一问候每位塞恩——但要仔细听他们说什么。,
我相信你跟我一样清楚，若想在此地的冒险继续下去，你非得有一个更强大的王国做靠山不可。你无法凭一己之力侵略一国。,
对阿斯莱夫，你怎么看？,
那地方阴森幽暗，葬着一位古代君王，而地底之民正满怀戒心地守护着他的宝藏。,
考斯坦丁还剩一口气。他翻身仰面躺着，那双充血的眼睛竭力想在你身上聚焦。,
他让我们暂且留下——等着——还提起了什么智者。他们正去领一个能帮上忙的人过来。,
你怎么看？,
这一仗不公平！,
我发誓！那东西当真不在我手上了。,
米德加德的人民渴求宏大奇观。你们拼命想逃离的，不过是日常生活中的庸常恐惧，可你们偏偏无法在太平与富足中寻到半分快乐。,
句句属实！是斯库勒·碎颅者唆使我干的。我俩在奥克尼群岛碰的面，他口口声声说你们村子值得下手——比那些彩绘蛮子富裕，还远没那么凶悍。他不是在撒谎，就是瞎了眼——哈！,
那个下毒的女人？我以为我对她的看法，已经表达得够清楚了。,
别像个娘们似的！他挑衅的是你的荣誉！跟他面对面、了结这场决斗，是你的[i]本分[/i]。,
乞求你的宽恕。从今往后，我必努力以你的眼光看待万事，处处以你为榜样。,
找到那座林中营地，决定如何处置那些旅人。,
他翻了翻白眼，那副居高临下的神气，活脱脱是个不明白自己压根儿没资格居高临下的年轻人。,
不错，我也在琢磨这事。你心里有什么具体的打算吗？,
解决掉高原上的岗哨。,
那人收刀入鞘，缓缓靠近，伸出一只手来从你这里接过包裹。,
来吧。不着急。仔细着，一滴也别洒出来。,
这个[Player:男人/女人]是个冒牌货！这帮人全是异教的闯入者，不配替我们国王代言！,
在埃塞尔雷德营地擒获的那个间谍曾供称，她丈夫被奥斯雷德的手下囚禁，作为挟持她的人质。眼前这个男人似乎正合她的描述。,
瘦高男人放下杯子，就着袖子抹了抹嘴。他咳了一声，那副龇牙咧嘴的德性便又挂回脸上。,
阿斯莱夫清了清喉咙，老大不情愿地背诵起氏族传下来的那套单挑规矩。,
那么看来，你我已陷入死局。我这就告退，将不再叨扰，陛下。,
够了！打爆他，内夫娅——你能做到的。,
要我绕开这个问题，得花多大代价？,
一个尖细的声音从昏暗中冒了出来。,
你最好把这事放下。真正的硬仗还在后头呢。,
正是在下。我在南边的低地过活、打猎，这里你看到的每一样东西，都是我亲手做的。,
你赢了，[Player:父亲]的[Player:儿子/女儿]。来吧，给我个痛快。,
{射那个大块头。} 干掉他，[Archer:Name]。,
我对考斯坦丁那点亏欠，还犯不着受这种窝囊气。你想割开自己的血管，请便。,
你手里那堆东西值十奥图格银子，想要的话，找我儿子说去。,
她凑上前来，压低了声音，一副要密谋什么的模样。,
我们从来没到过那么远的南方。或许将来我会折回那些岛屿，再往深处探一探。,
多数时候如此。反正从头到尾我们都在跟他打交道，所以，咱们的报酬八成也攥在他手里。,
我们这儿待得最久的，已经熬了五十年了。我才不过服侍了两年。,
那就让尼德霍格把你叼了去吧！,
不许那么说！你不会死的！,
我也许能想出办法，让天平朝我这边倾斜。,
那就去把那个该死的间谍揪出来，假装是奥斯雷德派你来买他的消息。等他上钩，就杀了他。,
{放弃任务。} 你们这帮小鬼自己玩你们的聚会吧。等到你们灰溜溜地爬回凯特跟前时，告诉他，我尽力了。,
你父亲带着他的亲随卫队扬帆西去了——我当时心想，他这算是完了。,
[Scout:Name]死死扳住你的肩膀。,
我们会把唐库尔斯救出来的。你在这儿安全吗？,
老人像一尊石像那样僵住了。,
你在帮那些奴隶？,
我也“恨”高兴认识你，[Player:Name]！,
这位涅菲雅，论刀剑可是有点造诣的。我巴不得就杵在这儿，看她怎么在你身上施展。你要想免了这场好戏，乖乖把一半的钱交出来就行。,
“我这种人”——你指的是口袋里塞满钱的那种人？,
涅菲雅伸出一只手，搭在了女猎手的肩头。,
想给战船找水手，该上哪儿去？,
没过多大一会儿，[Helper:Name]折回来了。,
什么——？可……！,
你觉得勒斯克瓦这人怎么样？,
考斯坦丁捻了个响指，一名侍从便款款挽起芬古拉的手臂，将她领到大厅的一角。不消片刻，她的新郎官现身门边，走向了她。,
你再次踏进大厅时，空气中的弦绷得紧紧的。,
噢！——唔——你又回来了！来找补给的？,
还在想法子。,
埃奥福维克城里有人在扒窃过往旅人的东西。这里头或许藏着个机会，就看你想不想插一脚。,
我看见了八个维京人，外加一打皮克特人。皮克特人武装稀烂，可那几个维京人，是冲着打仗全副披挂的。,
[Player:Name]——我凭耶阿特人、丹麦人与朱特人的国王西古尔德·赫林格及其麾下白衣拉格希尔雅尔所授的权柄，就此承认你身为奥克尼群岛雅尔的权威。,
我不会跟你动手，阿斯莱夫。我需要你站在我身边。,
我没法放你走。我们需要你的学识。,
埃西尔特近来总像是心绪不宁。,
离那东西远点儿！看在你这身荣誉的分上，我就当我什么都没瞅见，塞恩。,
要是我进不去礼拜堂，可否请你们的首领出来见我一面？,
这笔账咱们不亏——反正我们本来就打算去珀斯，对吧？,
回家去吧，姑娘。这种男人，从来都不值当。,
我跟她不熟。我倒觉得她在躲着我。但有一样，她的身手，确实一再叫我叹服。,
把基利安带到立石那边的密尔丁那儿去。,
破晓将近，你发觉另一艘船正不疾不徐地咬上你们。它在海天一线间还只是个小黑剪影，而你们前方的海面上，成片的雾堤像毯子一样拥着平寂的水面。,
{揪住他，狠狠掼在地上。},
{给4份口粮。} 你走的路不轻松，拿着这个，能顶点用。,
你竟敢……？你就看不明白……咱们的仪式全靠蒙受赐福的瑞亚·西尔维亚的乳汁！,
她转过身去，简直是一路小跑着投回丈夫的怀中，那汉子自始至终只带着浑浑噩噩的惊骇望着她。他将手臂圈住她的肩，带她走出斯克恩之前，朝你投来了哀戚的一瞥。,
那好吧，祝你好运。往后若还缺什么，我没准会再来。,
我们在家乡的战事中寻求盟友。我们相信，以我们的效劳，足以为贵方朝廷奉上可观的回报。,
别往嘴上亲！,
{一语不发，从他身旁走过。},
他丝毫没有掩藏那副失落至极的模样。,
我要去睡了。愿索尔赐你力量。,
她身穿一件简陋的兽皮甲，抵御刀剑时聊胜于无，但挡风遮雨倒是绰绰有余。脖子上挂着好几枚各不相同的十字架，头发只靠一根布条束住。,
我在沿海镇子上有些朋友，他们从我手里接过船再去转卖——你先别急着问，他们把船弄上板车——呃，就是用马车拉走的，明白了吧？,
她愣了愣，才把心思从战事转到买卖上来。,
嗯，只要让他们忙着，就没工夫惹事了。,
当你从后方逼近，两边人马都往后退，可诺森布里亚人这下却被你和你的盟友们夹在了中间。,
喏，拿着。,
我可不是由你玩弄的。,
就这么白白浪费，实在可惜了……,
这就能说服我？没门，我不付钱！他们没按时交工。,
埃尔林格已向我宣誓效忠。恩怨到此为止。,
他空睁着一双眼睛望着你，几乎没意识到你就在跟前。,
洞中的空气出奇地温暖干燥，可无论是什么超自然的气流在此流转施恩，也未能驱散笼罩这片地方的沉闷压抑。,
女祭司花哨地行了个鞠躬礼。,
沃尔瑟夫，税吏，缺席法庭审判。最后出现在斯卡伯勒。赏格：活口一千一百财物，尸首六百。,
也是赶路的，嗯？我们要去里伯，但好像走岔了，啊……,
这就是与我为敌的下场。在场的人都给我好好记住。,
很快，昨夜的一切便了无痕迹，仿佛从未发生过。,
开动吧！大伙儿敞开吃！,
请你——别把这次败仗太放在心上。战场上，谁也不是我和我手下这帮勇士的对手。,
诺森布里亚之王,
谁下去潜进那水潭？,
你能感到她的目光狠狠剜着你的太阳穴——接着她猛地跳起来，气冲冲地走了，去找别人帮忙了。,
{放了他们。}既然他们这么想要自由，那就给他们。,
努基瞥了[Eater:Name]一眼，又望着那空盘子，脸上浮现出沮丧的神情。,
这事儿你怎么看？,
他一把从你手里夺过那罐萤火虫，对自己的粗鲁全然不觉。,
那会儿是大半夜，我们都在床上。哪有工夫拿武器，我们是赤手空拳跟他们拼的！等我们以为总算完了，却看见了他们的首领……,
不想掺和进来？那也许才是最明智的选择。,
这么说，你就是个捕鼠的，对吧？专门来清理那些害虫的……,
斯凯恩的百姓奋起反击，打退了那伙劫掠者，活捉了他们的头领。剩下的北方人乘着他们的船逃走了。,
我认得你。斯凯恩的领主，没错吧？在你父亲的葬礼上，见过你教训几个装备破烂的农家崽子。,
这番好意我心领了，可这些年鼠辈帮一直为非作歹——偷商人的货，深更半夜在街上撒野。,
这块古老的石碑揭示了通往一位传说中的王者安息之所的部分详尽指引。,
那可糟了！你不该拜魔鬼，他是恶的！你是坐船来的吗？,
打得漂亮！不会再让你有这种机会了！,
我之所以如此推断，只因你以同样的残忍对待过我的众多兄弟姐妹。,
不要低估艾菲。她与格蕾妮之间的关系，远非下属效命于指挥官那么简单——她曾是格蕾妮的亲传弟子，而格蕾妮的名号，在整个皮克特兰都备受敬畏。,
我没想到，道别竟会如此轻易。,
采用云杉木。{高速 / 低威慑力 / 低载货量},
你的同伴们看看你，又望向那些奴仆。一息之间，屋里无人动弹。下一刻，兵刃已执于手中。,
……对不住。,
哦，感谢主，帮助您的仆人了却了这桩心愿！多谢您，[i]真是万分[/i]感谢您的大恩大德。告诉我发生了什么。,
远征所需的一切，你已准备就绪。一旦下定决心，就再无回头之路。,
德鲁伊死了。我们带来了他的尸首作为凭证。,
是啊……,
看来正是如此。,
你家里人近来如何？{注：原文“How's your family doing?”为询问家人近况的常见问候语，此处直译以保持语境},
{杀了他。},
你们这些不忠的狗东西在干什么？！给我滚回来！,
嚯，你看上去一团糟。,
眼下这情形嘛……奥斯雷德、埃塞尔雷德那帮人我不清楚，但要是寻常情况，我们大概完全不介意让他们各行其是。,
